PERMNO,date,TICKER,RET,sprtrn
10107,2010-12-20,MSFT,-0.003315,0.002548
10107,2010-12-21,MSFT,0.009349,0.006030
10107,2010-12-22,MSFT,0.004186,0.003380
10107,2010-12-23,MSFT,0.003991,-0.001644
10107,2010-12-27,MSFT,-0.008127,0.000613
10107,2010-12-28,MSFT,-0.002137,0.000771
10107,2010-12-29,MSFT,-0.001428,0.001009
10107,2010-12-30,MSFT,-0.004290,-0.001508
10107,2010-12-31,MSFT,0.002154,-0.000191
10107,2011-01-03,MSFT,0.002508,0.011315
10107,2011-01-04,MSFT,0.003842,-0.001313
10107,2011-01-05,MSFT,-0.003115,0.005007
10107,2011-01-06,MSFT,0.029286,-0.002123
10107,2011-01-07,MSFT,-0.007634,-0.001845
10107,2011-01-10,MSFT,-0.013287,-0.001376
10107,2011-01-11,MSFT,-0.003898,0.003725
10107,2011-01-12,MSFT,0.015653,0.009008
10107,2011-01-13,MSFT,-0.012609,-0.001711
10107,2011-01-14,MSFT,0.003902,0.007385
10107,2011-01-18,MSFT,0.012721,0.001376
10107,2011-01-19,MSFT,-0.006629,-0.010116
10107,2011-01-20,MSFT,-0.004127,-0.001295
10107,2011-01-21,MSFT,-0.011727,0.002414
10107,2011-01-24,MSFT,0.012848,0.005836
10107,2011-01-25,MSFT,0.002467,0.000263
10107,2011-01-26,MSFT,0.011599,0.004221
10107,2011-01-27,MSFT,0.003127,0.002244
10107,2011-01-28,MSFT,-0.038760,-0.017852
10107,2011-01-31,MSFT,-0.000937,0.007663
10107,2011-02-01,MSFT,0.009648,0.016694
10107,2011-02-02,MSFT,-0.001875,-0.002723
10107,2011-02-03,MSFT,-0.010379,0.002354
10107,2011-02-04,MSFT,0.004340,0.002884
10107,2011-02-07,MSFT,0.015394,0.006240
10107,2011-02-08,MSFT,0.003014,0.004185
10107,2011-02-09,MSFT,-0.011049,-0.002786
10107,2011-02-10,MSFT,-0.016804,0.000750
10107,2011-02-11,MSFT,-0.009091,0.005507
10107,2011-02-14,MSFT,-0.000734,0.002385
10107,2011-02-15,MSFT,-0.004040,-0.003235
10107,2011-02-16,MSFT,0.002226,0.006257
10107,2011-02-17,MSFT,0.007032,0.003076
10107,2011-02-18,MSFT,-0.005513,0.001925
10107,2011-02-22,MSFT,-0.017369,-0.020529
10107,2011-02-23,MSFT,0.000000,-0.006112
10107,2011-02-24,MSFT,0.006769,-0.000994
10107,2011-02-25,MSFT,-0.008218,0.010550
10107,2011-02-28,MSFT,0.001130,0.005561
10107,2011-03-01,MSFT,-0.015801,-0.015740
10107,2011-03-02,MSFT,-0.003154,0.001615
10107,2011-03-03,MSFT,0.004698,0.017219
10107,2011-03-04,MSFT,-0.009447,-0.007378
10107,2011-03-07,MSFT,-0.008959,-0.008341
10107,2011-03-08,MSFT,0.007387,0.008923
10107,2011-03-09,MSFT,-0.000772,-0.001362
10107,2011-03-10,MSFT,-0.018540,-0.018871
10107,2011-03-11,MSFT,0.010626,0.007080
10107,2011-03-14,MSFT,0.000389,-0.006049
10107,2011-03-15,MSFT,-0.011678,-0.011200
10107,2011-03-16,MSFT,-0.023631,-0.019495
10107,2011-03-17,MSFT,-0.000403,0.013398
10107,2011-03-18,MSFT,0.000807,0.004302
10107,2011-03-21,MSFT,0.021371,0.014994
10107,2011-03-22,MSFT,-0.001382,-0.003551
10107,2011-03-23,MSFT,0.009686,0.002914
10107,2011-03-24,MSFT,0.010572,0.009341
10107,2011-03-25,MSFT,-0.007361,0.003161
10107,2011-03-28,MSFT,-0.008197,-0.002748
10107,2011-03-29,MSFT,0.003148,0.007060
10107,2011-03-30,MSFT,0.004708,0.006685
10107,2011-03-31,MSFT,-0.008590,-0.001829
10107,2011-04-01,MSFT,0.003545,0.004963
10107,2011-04-04,MSFT,0.002747,0.000345
10107,2011-04-05,MSFT,0.009002,-0.000180
